"","initials","year_pub","journal_id","volume","issue","first_author","include","reason"
"221","PD",2020,"JOE",108,2,"Opedal","No","No Tables"
"222","PD",2020,"JOE",108,2,"Deveautour","No","No Tables"
"223","PD",2020,"JOE",108,2,"Henneron","No","No Tables"
"224","PD",2020,"JOE",108,2,"Bittebiere","No","No Tables"
"225","PD",2020,"JOE",108,2,"Wardle","No","No Tables"
"226","PD",2020,"JOE",108,2,"Merges","Yes","na"
"227","PD",2020,"JOE",108,2,"Holdo","Yes","na"
"228","PD",2020,"JOE",108,2,"Ma","No","No Tables"
"229","PD",2020,"JOE",108,2,"Qin","Yes","na"
"230","PD",2020,"JOE",108,2,"Guerrieri","No","No Tables"
"231","PD",2020,"JOE",108,2,"Alam","Yes","na"
"232","PD",2020,"JOE",108,2,"Osland","No","No Tables"
"233","PD",2020,"JOE",108,2,"Jourdan","No","No Tables"
"234","PD",2020,"JOE",108,2,"Liu","No","No Tables"
"235","PD",2020,"JOE",108,2,"Nield","No","Paper Type"
"236","PD",2020,"JOE",108,2,"Fang","No","No Tables"
"237","PD",2020,"JOE",108,2,"Sun","No","No Tables"
"238","PD",2020,"JOE",108,2,"Descombes","No","No Tables"
"239","PD",2020,"JOE",108,2,"Bufford","No","No Tables"
"240","PD",2020,"JOE",108,2,"Wagner","No","No Tables"
"241","PD",2020,"JOE",108,2,"Clark","No","No Tables"
"242","PD",2020,"JOE",108,2,"Mellado","No","No Tables"
"243","PD",2020,"JOE",108,2,"Smith","No","No Tables"
"244","PD",2019,"JOE",107,6,"Gao","No","No Tables"
"245","PD",2019,"JOE",107,6,"Ochoa-Hueso","No","No Tables"
"246","PD",2019,"JOE",107,6,"Wang","No","No Tables"
"247","PD",2019,"JOE",107,6,"Zhang","No","No Tables"
"248","PD",2019,"JOE",107,6,"Barceló","No","No Tables"
"249","PD",2019,"JOE",107,6,"Kantsa","Yes","na"
"250","PD",2019,"JOE",107,6,"Navarro-Cano","Yes","na"
"251","PD",2019,"JOE",107,6,"Menge","No","No Tables"
"252","PD",2019,"JOE",107,6,"Semchenko","No","No Tables"
"253","PD",2019,"JOE",107,6,"Chen","No","No Tables"
"254","PD",2019,"JOE",107,6,"Schäfer","No","No Tables"
"255","PD",2019,"JOE",107,6,"Fogelström","Yes","na"
"256","PD",2019,"JOE",107,6,"Linders","Yes","na"
"257","PD",2019,"JOE",107,6,"Sun","No","No Tables"
"258","PD",2019,"JOE",107,6,"Chen","Yes","na"
"259","PD",2019,"JOE",107,6,"Wang","Yes","na"
"260","PD",2019,"JOE",107,6,"Sun","No","No Tables"
"261","PD",2019,"JOE",107,6,"Sundqvist","No","No Tables"
"262","PD",2019,"JOE",107,6,"Wyatt","No","No Tables"
"263","PD",2019,"JOE",107,6,"Damgaard","No","Paper Type"
"264","PD",2019,"JOE",107,6,"Quintana-Ascencio","No","No Tables"
"265","PD",2019,"JOE",107,6,"Peralta","Yes","na"
"266","PD",2019,"JOE",107,6,"Havrilla","No","Paper Type"
"267","PD",2019,"JOE",107,6,"Hagenbo","Yes","na"
"268","PD",2019,"JOE",107,4,"Sankaran","No","No Tables"
