initials,year_pub,journal_id,volume,issue,first_author,include,reason,,,
MB,2018,EL,21,5,Anderegg,No,no_tables,,,
MB,2018,EL,21,3,Butler,No,paper_type,,,
MB,2018,EL,21,3,Nowakowski,Yes,NA,,,
MB,2018,EL,21,3,McLaren,No,no_tables,,,
MB,2018,EL,21,3,Di Marco,No,no_tables,,,
MB,2018,EL,21,3,Watcharamongkol,No,no_tables,,,
MB,2018,EL,21,3,Janicke,No,paper_type,,,
MB,2018,EL,21,3,Kirchheimer,No,no_tables,,,
MB,2018,EL,21,3,Rojas,Yes,NA,,,
MB,2018,EL,21,3,Laughlin,No,no_tables,,,
MB,2018,EL,21,1,Hillebrand,No,no_tables,,,
MB,2018,EL,21,1,Plas,No,no_tables,,,
MB,2018,EL,21,1,Caselle,Yes,NA,,,
MB,2018,EL,21,1,Malerba,No,no_tables,,,
MB,2018,EL,21,1,Abrahms,No,no_tables,,,
MB,2018,EL,21,1,Antiqueira,No,no_tables,,,
MB,2018,EL,21,1,Volf,Yes,NA,,,
MB,2018,EL,21,1,Massoud,No,no_tables,,,
MB,2018,EL,21,1,Carlo,No,no_tables,,,
MB,2018,EL,21,1,Hesse,No,no_tables,,,
MB,2018,EL,21,1,Moorsel,No,no_tables,,,
MB,2018,EL,21,6,Herbert-Dufresne,No,no_tables,,,
MB,2018,EL,21,6,Chrisholm,No,no_tables,,,
MB,2018,EL,21,6,Jeffers,Yes,NA,,,
MB,2018,EL,21,6,D'Andrea,No,no_tables,,,
MB,2018,EL,21,6,Barneche,No,paper_type,,,
MB,2018,EL,21,6,La Sorte,No,no_tables,,,
MB,2018,EL,21,6,Boonekamp,Yes,NA,,,
MB,2018,EL,21,6,Lanuza,Yes,NA,,,
MB,2018,EL,21,6,Cirtwill,No,no_tables,,,
MB,2018,EL,21,6,Mladkova,Yes,NA,,,
MB,2018,EL,21,6,Tylianakis,Yes,NA,,,
PD,2020,JOE,108,2,Liu,1,na,,,
PD,2020,JOE,108,2,Umaña,1,na,,,
PD,2020,JOE,108,2,Neumann,1,,,,
PD,2020,JOE,108,2,Staggmeier,0,no tables,,,
PD,2020,JOE,108,2,Martin-Guay,0,no tables,,,
PD,2020,JOE,108,2,Xi,0,no tables with error,,,
PD,2020,JOE,108,2,Hall,0,no tables with coefficients,,,
PD,2020,JOE,108,2,Sollins,0,no tables with coefficients,,,
PD,2020,JOE,108,2,Opedal,0,no tables with coefficients ,,,
PD,2020,JOE,108,2,Deveautour,0,no tables with error,,,
PD,2020,JOE,108,2,Henneron,0,no tables with coefficients ,,,
PD,2020,JOE,108,2,Bittebiere,0,no tables with coefficients,,,
PD,2020,JOE,108,2,Wardle,0,no tables with error,,,
PD,2020,JOE,108,2,Merges,1,na,,,
PD,2020,JOE,108,2,Holdo,1,na,,,
PD,2020,JOE,108,2,Ma,0,no tables with error,,,
PD,2020,JOE,108,2,Qin,1,na,,,
PD,2020,JOE,108,2,Guerrieri,0,no tables,,,
PD,2020,JOE,108,2,Alam,1,na,,,
PD,2020,JOE,108,2,Osland,0,no tables,,,
PD,2020,JOE,108,2,Jourdan,0,no tables with coefficients,,,
PD,2020,JOE,108,2,Liu,0,no tables,,,
PD,2020,JOE,108,2,Nield,0,Simulated Data,,,
PD,2020,JOE,108,2,Fang,0,no tables with error,,,
PD,2020,JOE,108,2,Sun,0,no tables,,,
PD,2020,JOE,108,2,Descombes,0,no tables with coefficients,,,
PD,2020,JOE,108,2,Bufford,0,no tables,,,
PD,2020,JOE,108,2,Wagner,0,no tables,,,
PD,2020,JOE,108,2,Clark,0,no tables with coefficients ,,,
PD,2020,JOE,108,2,Mellado,0,no tables with coefficients,,,
PD,2020,JOE,108,2,Smith,0,no tables,,,
PD,2019,JOE,107,6,Gao,0,no tables with coefficients ,,,
PD,2019,JOE,107,6,Ochoa-Hueso,0,no tables,,,
PD,2019,JOE,107,6,Wang,0,no tables,,,
PD,2019,JOE,107,6,Zhang,0,no tables,,,
PD,2019,JOE,107,6,Barceló,0,no tables with error,,,
PD,2019,JOE,107,6,Kantsa,1,na,,,
PD,2019,JOE,107,6,Navarro-Cano,1,na,,,
PD,2019,JOE,107,6,Menge,0,no tables,,,
PD,2019,JOE,107,6,Semchenko,0,no tables,,,
PD,2019,JOE,107,6,Chen,0,no tables,,,
PD,2019,JOE,107,6,Schäfer,0,no tables with coefficients ,,,
PD,2019,JOE,107,6,Fogelström,1,na,,,
PD,2019,JOE,107,6,Linders,1,na,,,
PD,2019,JOE,107,6,Sun,0,no tables with coefficients,,,
PD,2019,JOE,107,6,Chen,1,na,,,
PD,2019,JOE,107,6,Wang,1,na,,,
PD,2019,JOE,107,6,Sun,0,no tables,,,
PD,2019,JOE,107,6,Sundqvist,0,no tables with coefficients ,,,
PD,2019,JOE,107,6,Wyatt,0,no tables,,,
PD,2019,JOE,107,6,Damgaard,0,Simulated Data,,,
PD,2019,JOE,107,6,Quintana-Ascencio,0,no tables,,,
PD,2019,JOE,107,6,Peralta,1,na,,,
PD,2019,JOE,107,6,Havrilla,0,paper type,,,
PD,2019,JOE,107,6,Hagenbo,1,na,,,
PD,2019,JOE,107,4,Sankaran,0,no tables,,,
PD,2019,JOE,107,4,Shefferson,0,no tables,,,
PD,2019,JOE,107,4,Schroeder,0,no tables,,,
PD,2019,JOE,107,4,Jacquemyn,0,no tables,,,
PD,2019,JOE,107,4,Shefferson,0,no tables with coefficients ,,,
PD,2019,JOE,107,4,Pérez-Izquierdo,0,no tables with coefficients ,,,
PD,2019,JOE,107,4,Foisy,0,no tables with coefficients,,,
PD,2019,JOE,107,4,Coley,0,no tables with coefficients,,,
PD,2019,JOE,107,4,Goud,0,no tables with coefficients,,,
PD,2019,JOE,107,4,Chagnon,0,no tables with coefficients,,,
PD,2019,JOE,107,4,Reitalu,0,no tables with error,,,
PD,2019,JOE,107,4,Kuneš,0,no tables,,,
PD,2019,JOE,107,4,John Calder,0,no tables,,,
PD,2019,JOE,107,4,De Long,0,no tables with coefficients ,,,
PD,2019,JOE,107,4,Koyama,0,no tables with coefficients ,,,
PD,2019,JOE,107,4,Schütte,0,no tables with coefficients,,,
PD,2019,JOE,107,4,Carrillo,0,no tables with coefficients ,,,
PD,2019,JOE,107,4,Slate,0,no tables with coefficients,,,
PD,2019,JOE,107,4,Cagua,1,na,,,
PD,2019,JOE,107,4,Wandrag,0,no tables,,,
PD,2019,JOE,107,4,Timerman,1,na,,,
PD,2019,JOE,107,4,Yi,0,no tables,,,
PD,2019,JOE,107,4,Liang,0,no tables,,,
PD,2019,JOE,107,4,Wigley,0,no tables,,,
PD,2019,JOE,107,4,Zheng,0,no tables with error,,,
PD,2019,JOE,107,4,Sasaki,0,no tables,,,
PD,2019,JOE,107,4,Griffin,1,na,,,
PD,2019,JOE,107,4,van der Heijden,0,no tables,,,
PD,2019,JOE,107,4,Wang,0,no tables,,,
PD,2019,JOE,107,4,Kahl,0,no tables with coefficients,,,
PD,2019,JOE,107,4,iler,1,na,,,
PD,2019,JOE,107,4,Wang,1,na,,,
PD,2019,JOE,107,4,Boisvert-Marsh,1,na,,,
PD,2019,JOE,107,4,Pardee,0,no tables with coefficients,,,
PD,2019,JOE,107,4,Carroll,0,no tables,,,
PD,2019,JOE,107,4,St. Clair,0,no tables,,,
PD,2019,JOE,107,4,Pereira,0,no tables with coefficients,,,
PD,2019,JOE,107,2,Chang,0,paper type,,,
PD,2019,JOE,107,2,Prach,0,no tables,,,
PD,2019,JOE,107,2,Chang,0,no tables,,,
